epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3637.05,1.40611,0.51211,0.0025,0.97283,0.95322,0.99032,0.74025,0.97637,0.35087,0.00087,0.00035,0.00035,0.00035
127,3665.14,1.40993,0.50892,0.00242,0.96741,0.9409,0.98876,0.73893,0.98728,0.38173,0.00088,0.0003368,0.0003368,0.0003368
128,3692.73,1.39479,0.49286,0.00228,0.96626,0.94541,0.98883,0.72349,1.03218,0.3727,0.00092,0.0003236,0.0003236,0.0003236
129,3721.58,1.39315,0.49141,0.00227,0.9599,0.94995,0.9887,0.73665,0.99564,0.36898,0.00089,0.0003104,0.0003104,0.0003104
130,3751.06,1.39622,0.51872,0.0025,0.94709,0.91183,0.98161,0.70123,1.08205,0.4056,0.00097,0.0002972,0.0002972,0.0002972
131,3780.04,1.41522,0.48372,0.00229,0.96584,0.95285,0.98966,0.75027,0.95001,0.34554,0.00085,0.000284,0.000284,0.000284
132,3809.54,1.40192,0.48521,0.00221,0.96604,0.95384,0.9897,0.74266,0.96321,0.35163,0.00086,0.0002708,0.0002708,0.0002708
133,3838.31,1.39432,0.50283,0.00238,0.96116,0.94577,0.98838,0.67936,1.14875,0.38939,0.00103,0.0002576,0.0002576,0.0002576
134,3867.9,1.37137,0.4883,0.00234,0.96404,0.9428,0.98836,0.73194,0.99894,0.38153,0.00089,0.0002444,0.0002444,0.0002444
135,3896.83,1.40088,0.50575,0.0024,0.96747,0.95515,0.99022,0.72466,1.02544,0.35883,0.00092,0.0002312,0.0002312,0.0002312
136,3926.76,1.39569,0.49144,0.00229,0.97462,0.9536,0.99056,0.74142,0.98493,0.34544,0.00088,0.000218,0.000218,0.000218
137,3956.99,1.38947,0.49547,0.0023,0.97016,0.95018,0.98982,0.7328,1.00109,0.35943,0.0009,0.0002048,0.0002048,0.0002048
138,3986.6,1.40347,0.49369,0.00226,0.96924,0.94285,0.98893,0.754,0.94137,0.35818,0.00085,0.0001916,0.0001916,0.0001916
139,4015.87,1.38823,0.49047,0.00225,0.9636,0.95356,0.98948,0.73655,0.98672,0.36425,0.00088,0.0001784,0.0001784,0.0001784
140,4045.15,1.39062,0.50167,0.00235,0.95846,0.94667,0.9886,0.74026,0.96718,0.36212,0.00087,0.0001652,0.0001652,0.0001652
141,4075.87,1.37664,0.44868,0.00213,0.96889,0.94709,0.98923,0.72396,1.02799,0.36762,0.00092,0.000152,0.000152,0.000152
142,4102.09,1.34831,0.44932,0.00209,0.96844,0.94423,0.98868,0.71862,1.04289,0.3683,0.00094,0.0001388,0.0001388,0.0001388
143,4129.65,1.36704,0.45943,0.00212,0.97253,0.9481,0.98994,0.74104,0.98224,0.34773,0.00088,0.0001256,0.0001256,0.0001256
144,4157.3,1.37434,0.44737,0.0021,0.96866,0.94847,0.9896,0.71688,1.04821,0.3664,0.00094,0.0001124,0.0001124,0.0001124
145,4184.63,1.37207,0.44941,0.00206,0.96911,0.95262,0.99001,0.74079,0.98171,0.34615,0.00088,9.92e-05,9.92e-05,9.92e-05
146,4210.53,1.37751,0.44217,0.00208,0.9741,0.95408,0.99045,0.72652,1.02172,0.34648,0.00092,8.6e-05,8.6e-05,8.6e-05
147,4238.19,1.31922,0.4417,0.00202,0.97456,0.95433,0.99046,0.73333,1.00514,0.34201,0.0009,7.28e-05,7.28e-05,7.28e-05
148,4265.62,1.3597,0.45292,0.00225,0.97395,0.9543,0.99045,0.74112,0.98176,0.34242,0.00088,5.96e-05,5.96e-05,5.96e-05
149,4292.62,1.36126,0.44454,0.00205,0.97006,0.94973,0.98971,0.73122,1.00983,0.3553,0.00091,4.64e-05,4.64e-05,4.64e-05
150,4319.08,1.32979,0.4317,0.00204,0.97202,0.9525,0.99007,0.72667,1.02229,0.34844,0.00092,3.32e-05,3.32e-05,3.32e-05
