epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,3436.59,1.38957,0.48926,0.0024,0.97911,0.96227,0.99201,0.67221,1.20068,0.35889,0.0011,0.0010793,0.0010793,0.0010793
95,3472.83,1.39273,0.48191,0.00232,0.98266,0.96544,0.99239,0.73492,0.98469,0.3262,0.00089,0.0010694,0.0010694,0.0010694
96,3509.71,1.38018,0.50942,0.00251,0.97417,0.95848,0.9909,0.74159,0.94687,0.32955,0.00085,0.0010595,0.0010595,0.0010595
97,3546.01,1.36644,0.46624,0.00218,0.98286,0.96638,0.99244,0.74701,0.92761,0.30127,0.00084,0.0010496,0.0010496,0.0010496
98,3581.49,1.37871,0.48061,0.00228,0.97568,0.96471,0.99162,0.71688,1.03814,0.33233,0.00093,0.0010397,0.0010397,0.0010397
99,3617.41,1.38091,0.51277,0.00247,0.97853,0.9686,0.99233,0.71734,1.03067,0.3321,0.00093,0.0010298,0.0010298,0.0010298
100,3653.1,1.40097,0.52041,0.00263,0.98134,0.96068,0.99185,0.74634,0.92719,0.32801,0.00084,0.0010199,0.0010199,0.0010199
101,3689.27,1.39277,0.49988,0.00237,0.97774,0.9655,0.99228,0.70584,1.05033,0.34099,0.00095,0.00101,0.00101,0.00101
102,3725.56,1.36411,0.48621,0.00236,0.98218,0.96239,0.99262,0.72398,1.02151,0.33568,0.00093,0.0010001,0.0010001,0.0010001
103,3761.37,1.37481,0.47853,0.00235,0.98028,0.96923,0.99231,0.70831,1.06378,0.33333,0.00097,0.0009902,0.0009902,0.0009902
104,3796.45,1.38117,0.46851,0.00219,0.98123,0.96377,0.99246,0.74063,0.97631,0.32952,0.00088,0.0009803,0.0009803,0.0009803
105,3832.74,1.38489,0.49517,0.00248,0.98399,0.96288,0.99209,0.71867,1.01753,0.34934,0.00092,0.0009704,0.0009704,0.0009704
106,3868.59,1.40233,0.50429,0.00251,0.98188,0.96586,0.99252,0.7518,0.92081,0.29739,0.00082,0.0009605,0.0009605,0.0009605
107,3905.1,1.37719,0.48907,0.0023,0.98164,0.96648,0.99285,0.70959,1.05545,0.33328,0.00095,0.0009506,0.0009506,0.0009506
108,3941.21,1.38909,0.50265,0.0025,0.9813,0.96763,0.99232,0.70097,1.07311,0.33935,0.00098,0.0009407,0.0009407,0.0009407
109,3976.45,1.38048,0.49653,0.0025,0.98508,0.9676,0.99296,0.71919,0.99488,0.32942,0.00089,0.0009308,0.0009308,0.0009308
110,4011.98,1.38354,0.46627,0.00219,0.97622,0.96752,0.99197,0.75438,0.92691,0.32479,0.00083,0.0009209,0.0009209,0.0009209
111,4047.85,1.38475,0.47159,0.00239,0.97857,0.96959,0.99269,0.72818,0.99292,0.32142,0.00089,0.000911,0.000911,0.000911
112,4083.81,1.37042,0.51859,0.00269,0.97729,0.97326,0.99238,0.75044,0.92935,0.32213,0.00083,0.0009011,0.0009011,0.0009011
113,4120.27,1.3679,0.48166,0.00233,0.98231,0.9702,0.99287,0.75059,0.92251,0.29722,0.00083,0.0008912,0.0008912,0.0008912
114,4155.49,1.3698,0.47644,0.00235,0.97987,0.96283,0.99215,0.703,1.07329,0.33085,0.00098,0.0008813,0.0008813,0.0008813
115,4191.03,1.39744,0.48945,0.0024,0.98297,0.96837,0.99261,0.7143,1.01761,0.34036,0.00092,0.0008714,0.0008714,0.0008714
116,4226.99,1.37604,0.48397,0.0024,0.97984,0.95573,0.99163,0.70456,1.05832,0.34704,0.00097,0.0008615,0.0008615,0.0008615
117,4262.84,1.41004,0.49891,0.00244,0.98206,0.96927,0.99278,0.69929,1.10842,0.33044,0.001,0.0008516,0.0008516,0.0008516
118,4299.08,1.3849,0.46282,0.00214,0.98338,0.96178,0.99256,0.74712,0.93066,0.32433,0.00084,0.0008417,0.0008417,0.0008417
119,4335.43,1.36275,0.46159,0.00226,0.97941,0.9702,0.99238,0.73217,1.00272,0.32096,0.00091,0.0008318,0.0008318,0.0008318
120,4370.96,1.38365,0.46724,0.0022,0.98265,0.96844,0.99292,0.75152,0.9421,0.30394,0.00085,0.0008219,0.0008219,0.0008219
121,4406.54,1.3671,0.47141,0.00228,0.98393,0.96452,0.99212,0.77236,0.87124,0.30157,0.00077,0.000812,0.000812,0.000812
122,4442.6,1.37001,0.48673,0.00231,0.97878,0.95754,0.99126,0.72562,0.99177,0.33296,0.0009,0.0008021,0.0008021,0.0008021
123,4478.3,1.37421,0.46871,0.00227,0.9787,0.96516,0.99203,0.74044,0.96304,0.32172,0.00087,0.0007922,0.0007922,0.0007922
124,4514.99,1.37996,0.49134,0.00252,0.98102,0.96666,0.99241,0.74698,0.94904,0.32601,0.00085,0.0007823,0.0007823,0.0007823
125,4551.76,1.36202,0.48084,0.00244,0.98096,0.96882,0.9929,0.73396,0.98764,0.31381,0.00089,0.0007724,0.0007724,0.0007724
126,4587.21,1.37554,0.4902,0.00247,0.98135,0.97026,0.99319,0.74797,0.95244,0.30905,0.00086,0.0007625,0.0007625,0.0007625
127,4623.35,1.38639,0.48744,0.0024,0.97949,0.96829,0.99252,0.75187,0.91852,0.32125,0.00082,0.0007526,0.0007526,0.0007526
128,4659.33,1.35993,0.46119,0.00224,0.97855,0.96374,0.99207,0.7425,0.94207,0.3225,0.00084,0.0007427,0.0007427,0.0007427
